City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Puerto Madryn,AR,-42.7692,-65.0385,73.49,40,32,8.05,scattered clouds
329,Antalaha,MG,-14.9003,50.2788,67.69,79,50,6.11,scattered clouds
330,Itaituba,BR,-4.2761,-55.9836,77.63,86,76,2.68,moderate rain
331,Pimentel,PE,-6.8367,-79.9342,64.69,72,0,23.02,clear sky
332,Felipe Carrillo Puerto,MX,19.5833,-88.05,73.54,98,96,6.13,light rain
333,Oregon,US,44.0001,-120.5014,73.22,11,0,6.78,clear sky
334,Cervo,ES,43.6702,-7.4101,60.96,69,38,10.6,scattered clouds
335,Rorvik,NO,64.8621,11.2373,44.71,87,100,10.36,light rain
336,Andenes,NO,69.3143,16.1194,40.98,81,100,11.5,overcast clouds
337,Skerries,IE,53.5828,-6.1083,56.48,90,100,20.89,overcast clouds
338,Padre Bernardo,BR,-15.35,-48.5,86.72,24,42,3.94,scattered clouds
